Organization Name,Industries
Chengjia Apartment,"Customer Service, Hospitality, Real Estate, Rental"
Hastee,"Employee Benefits, Financial Services, FinTech"
Skip Scooters,"Last Mile Transportation, Public Transportation, Rental, Transportation"
Aibee,"Artificial Intelligence, Information Technology, Robotics"
Sandbox VR,"Content, Digital Entertainment, Location Based Services, Virtual Reality"
Layer1,"Bitcoin, Blockchain, Cryptocurrency"
Papaya Global,"Analytics, Business Intelligence, Cloud Data Services, FinTech, Human Resources, Internet, Recruiting, SaaS"
Beyond Pricing,"Big Data, Machine Learning, Real Estate, SaaS, Software, Travel, Vacation Rental"
Landing,"Home Services, Real Estate, Residential"
omni:us,"Artificial Intelligence, Computer Vision, Information Technology, Insurance, InsurTech, Machine Learning, Software Engineering"
dotData,"Artificial Intelligence, Big Data, Data Center Automation, Industrial Automation, Information Technology"
ForwardLane,"Artificial Intelligence, Asset Management, Finance, Financial Services, Machine Learning, Natural Language Processing, PaaS, Wealth Management"
Kovi,"Automotive, Big Data, Car Sharing, Information Technology, Rental, Transportation"
Emerge,"Logistics, Shipping, Travel"
Sensel,"Consumer Electronics, Information Technology, Innovation Management"
Yunhu Health,"Health Care, Medical"
Merantix,"Artificial Intelligence, Computer Vision, Health Care, Health Diagnostics, Machine Learning"
Frubana,"Agriculture, B2B, E-Commerce, E-Commerce Platforms, Logistics, Restaurants"
Tempo,"3D Technology, Artificial Intelligence, Computer Vision, Fitness, Machine Learning, Real Time, Software, Wellness"
Lori Systems,"Freight Service, Logistics, Railroad, Transportation"
Tend,"Dental, Health Care, Medical, Personal Health, Wellness"
Bear Robotics,"Artificial Intelligence, Retail Technology, Robotics, Software"
Accel Robotics,"Consumer, Electronics, Machine Learning, Robotics, Software"
Alpha Foods,"Food and Beverage, Food Processing, Nutrition, Sustainability"
DEEPEXI,"Architecture, Internet"
bitkey Japan,"CMS, Information Technology, Security"
Dandelion Energy,"CleanTech, Consumer Goods, Customer Service, Energy, GreenTech, Renewable Energy, Service Industry"
TruKKer,"Freight Service, Logistics, Supply Chain Management, Transportation"
Observe.AI,"Artificial Intelligence, Call Center, Natural Language Processing, SaaS, Software, Speech Recognition"
Compound,"Blockchain, Cryptocurrency, Ethereum, Finance, Internet, Software"
Securrency,"Blockchain, Cloud Infrastructure, Cyber Security, Financial Services, FinTech, Information Technology, Software"
Einride,"Autonomous Vehicles, Electric Vehicle, Logistics, Transportation"
Revel Transit,"Apps, Automotive, Consumer Electronics"
Smarter Sorting,"Artificial Intelligence, Logistics, Machine Learning, Recycling, Sustainability, Waste Management"
Contentstack,"CMS, Content, Content Delivery Network, Digital Marketing, Information Technology, SaaS, Software"
Kindbody,"Fertility, Health Care, Medical, Wellness, Women's"
ClearMetal,"Enterprise Software, Logistics, Shipping, Software, Supply Chain Management, Transportation"
Gtmhub,"Business Intelligence, Enterprise Software, Human Resources, SaaS, Software"
Bison Trails,"Blockchain, Infrastructure, Internet, Software"
Everledger,"Asset Management, Digital Media, Finance, Insurance"
Spring Health,"Artificial Intelligence, Health Care, Hospital, Machine Learning, Outpatient Care"
Verishop,"Consumer Goods, E-Commerce, Internet, Lifestyle"
ThreeKit,"3D Printing, Computer, Information Technology, Product Design, Software"
Bolt Mobility,"Information Services, Information Technology"
Paragraf,"Advanced Materials, Electronics, Industrial Engineering, Manufacturing, Semiconductor"
Insurify,"Artificial Intelligence, Auto Insurance, InsurTech, Price Comparison"
Hella Infra Market,"E-Commerce, Information Technology, Marketplace, Property Management, Real Estate"
Jumeng,"Logistics, Shipping, Transportation"
Gravitational,"Cloud Data Services, Cloud Infrastructure, Privacy, SaaS, Software"
Anchore,"Cloud Security, Computer, Enterprise Software, Information Technology"
Trigo,"Computer, Retail, Software"
Thimble,"Financial Services, FinTech, Insurance, InsurTech, Mobile"
Dandelion,"Advertising Platforms, Commercial, Content Discovery, E-Commerce, Software"
Kopi Kenangan,"Coffee, Food and Beverage"
Project Etopia,"Construction, Environmental Consulting, Real Estate, Renewable Energy"
Curated,"Communities, E-Commerce, Internet, Retail, Travel"
albo,"Banking, FinTech, Mobile Apps"
Waresix,"E-Commerce, Freight Service, Logistics, Supply Chain Management, Transportation, Warehousing"
Honeycomb,"Analytics, Big Data, Computer, Data Visualization, Database, Developer Tools, Information Technology, Software"
Securitize,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Software"
Flowhub,"Business Intelligence, Cannabis, Enterprise, Internet, Point of Sale, Retail Technology, SaaS, Small and Medium Businesses, Software"
3d Signals,"Artificial Intelligence, Industrial, Industrial Automation"
Khatabook,Accounting
Thrasio,"E-Commerce, Retail"
Telio.vn,"B2B, E-Commerce, Fast-Moving Consumer Goods, Retail, Retail Technology"
WhiteFox Defense Technologies,"Drone Management, Drones, Mobile, Security"
