Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date
Annanow,https://www.crunchbase.com/organization/annanow,"Consumer Goods, Delivery, FinTech, Information Technology, InsurTech, Logistics","Cham, Zug, Switzerland","Annanow is an ecosystem for the retail trade that connects shops, courier services, and end customers by making immediate payments.",5700000,CHF,5815955,2020-03-16
Instanda,https://www.crunchbase.com/organization/instanda,"Information Technology, Insurance, InsurTech, SaaS, Software","London, England, United Kingdom","Instanda is a SaaS insurance software platform that allows insurance companies to build, configure, and launch products online.",28052437,USD,28052437,2020-03-10
refurbed,https://www.crunchbase.com/organization/refurbed,"Apps, E-Commerce, Electronics, Marketplace, Software","Vienna, Wien, Austria","Refurbed is a marketplace for refurbished electronics, which are used products that are completely renewed and resold.",19239652,USD,19239652,2020-03-17
Remesh,https://www.crunchbase.com/organization/remesh,"Artificial Intelligence, Business Intelligence, Internet, Market Research, Messaging, Project Management, Social Media","New York, New York, United States",Remesh offers an AI-powered platform that enables users to have live conversations with their customers at scale.,38979020,USD,38979020,2020-03-12
Argent,https://www.crunchbase.com/organization/argent,"Blockchain, Cryptocurrency, Identity Management, Mobile Apps, Software","London, England, United Kingdom",Argent is a smart wallet designed for cryptocurrencies and blockchain applications.,16211318,USD,16211318,2020-03-09
Perimeter 81,https://www.crunchbase.com/organization/perimeter-81,"Cloud Security, Cyber Security, Network Security, SaaS","Tel Aviv, Tel Aviv, Israel",Perimeter 81 is a Network-as-a-Service designed to simplify secure network for the modern and distributed workforce.,19500000,USD,19500000,2020-03-11
Sensel,https://www.crunchbase.com/organization/sensel,"Consumer Electronics, Information Technology, Innovation Management","Sunnyvale, California, United States",Sensel is developing next generation touch technologies that empower users and revolutionize interaction with the digital world.,37999989,USD,37999989,2020-03-03
Validere,https://www.crunchbase.com/organization/validere-technologies,"Advanced Materials, Artificial Intelligence, Energy, Hardware, Internet of Things, Oil and Gas, Software","Toronto, Ontario, Canada",Validere builds software and hardware solutions that improve visibility and trust in oil testing.,25679578,USD,25679578,2020-03-12
Deepgram,https://www.crunchbase.com/organization/deepgram,"Analytics, Artificial Intelligence, Audio, Human Computer Interaction, Software, Speech Recognition, Video","San Francisco, California, United States",Deepgram helps enterprises unlock the potential of their audio data with custom trained speech recognition for accuracy and scale.,13920000,USD,13920000,2020-03-18
QRails,https://www.crunchbase.com/organization/qrails,"FinTech, Payments, Transaction Processing","Denver, Colorado, United States","QRails is a cloud-based, API-driven issuer processor.  QRails enables innovative payment solutions.",17800000,USD,17800000,2020-03-03
ZeroNorth,https://www.crunchbase.com/organization/zeronorth,"Cloud Security, Cyber Security, Information Technology, Internet, SaaS, Security, Software","Boston, Massachusetts, United States",ZeroNorth is a provider of risk-based vulnerability orchestration across applications and infrastructure.,27600000,USD,27600000,2020-03-16
Mavenoid,https://www.crunchbase.com/organization/mavenoid,"Customer Service, Industrial Automation, Software, Technical Support","Stockholm, Stockholms Lan, Sweden",Mavenoid is a troubleshooting software that helps its users to locate malfunctions and provides guidelines on how to fix it.,9900000,USD,9900000,2020-03-04
FinCompare,https://www.crunchbase.com/organization/fincompare,"Banking, Commercial Lending, Finance, Financial Services, FinTech, Small and Medium Businesses","Berlin, Berlin, Germany","FinCompare is a fintech startup that helps businesses to find, compare, and close the financing solutions for businesses.",24500000,EUR,27984992,2020-03-05
