Classifier,Organization Name,Industries,Description,Headquarters Location,Organization Name URL,Total Funding Amount Currency (in USD),Last Funding Date
N,Annanow,"Consumer Goods, Delivery, FinTech, Information Technology, InsurTech, Logistics","Annanow is an ecosystem for the retail trade that connects shops, courier services, and end customers by making immediate payments.","Cham, Zug, Switzerland",https://www.crunchbase.com/organization/annanow,5815955.0,2020-03-16
N,Instanda,"Information Technology, Insurance, InsurTech, SaaS, Software","Instanda is a SaaS insurance software platform that allows insurance companies to build, configure, and launch products online.","London, England, United Kingdom",https://www.crunchbase.com/organization/instanda,28052437.0,2020-03-10
N,refurbed,"Apps, E-Commerce, Electronics, Marketplace, Software","Refurbed is a marketplace for refurbished electronics, which are used products that are completely renewed and resold.","Vienna, Wien, Austria",https://www.crunchbase.com/organization/refurbed,19239652.0,2020-03-17
N,Remesh,"Artificial Intelligence, Business Intelligence, Internet, Market Research, Messaging, Project Management, Social Media",Remesh offers an AI-powered platform that enables users to have live conversations with their customers at scale.,"New York, New York, United States",https://www.crunchbase.com/organization/remesh,38979020.0,2020-03-12
N,Argent,"Blockchain, Cryptocurrency, Identity Management, Mobile Apps, Software",Argent is a smart wallet designed for cryptocurrencies and blockchain applications.,"London, England, United Kingdom",https://www.crunchbase.com/organization/argent,16211318.0,2020-03-09
N,Perimeter 81,"Cloud Security, Cyber Security, Network Security, SaaS",Perimeter 81 is a Network-as-a-Service designed to simplify secure network for the modern and distributed workforce.,"Tel Aviv, Tel Aviv, Israel",https://www.crunchbase.com/organization/perimeter-81,19500000.0,2020-03-11
N,Sensel,"Consumer Electronics, Information Technology, Innovation Management",Sensel is developing next generation touch technologies that empower users and revolutionize interaction with the digital world.,"Sunnyvale, California, United States",https://www.crunchbase.com/organization/sensel,37999989.0,2020-03-03
Y,Validere,"Advanced Materials, Artificial Intelligence, Energy, Hardware, Internet of Things, Oil and Gas, Software",Validere builds software and hardware solutions that improve visibility and trust in oil testing.,"Toronto, Ontario, Canada",https://www.crunchbase.com/organization/validere-technologies,25679578.0,2020-03-12
N,Deepgram,"Analytics, Artificial Intelligence, Audio, Human Computer Interaction, Software, Speech Recognition, Video",Deepgram helps enterprises unlock the potential of their audio data with custom trained speech recognition for accuracy and scale.,"San Francisco, California, United States",https://www.crunchbase.com/organization/deepgram,13920000.0,2020-03-18
N,QRails,"FinTech, Payments, Transaction Processing","QRails is a cloud-based, API-driven issuer processor.  QRails enables innovative payment solutions.","Denver, Colorado, United States",https://www.crunchbase.com/organization/qrails,17800000.0,2020-03-03
N,ZeroNorth,"Cloud Security, Cyber Security, Information Technology, Internet, SaaS, Security, Software",ZeroNorth is a provider of risk-based vulnerability orchestration across applications and infrastructure.,"Boston, Massachusetts, United States",https://www.crunchbase.com/organization/zeronorth,27600000.0,2020-03-16
N,Mavenoid,"Customer Service, Industrial Automation, Software, Technical Support",Mavenoid is a troubleshooting software that helps its users to locate malfunctions and provides guidelines on how to fix it.,"Stockholm, Stockholms Lan, Sweden",https://www.crunchbase.com/organization/mavenoid,9900000.0,2020-03-04
N,FinCompare,"Banking, Commercial Lending, Finance, Financial Services, FinTech, Small and Medium Businesses","FinCompare is a fintech startup that helps businesses to find, compare, and close the financing solutions for businesses.","Berlin, Berlin, Germany",https://www.crunchbase.com/organization/fincompare,27984992.0,2020-03-05
N,Hungry Harvest,"Food Delivery, Organic, Organic Food",Hungry Harvest is a food and beverages company that delivers surplus fruits and vegetables to their subscribers’ homes every week.,"Baltimore, Maryland, United States",https://www.crunchbase.com/organization/hungry-harvest,7775000.0,2020-03-13
N,Coursedog,"Business Information Systems, EdTech, Higher Education, Project Management, Software",Coursedog is an internet company that provides curriculum and schedule planning solutions for Higher Education.,"New York, New York, United States",https://www.crunchbase.com/organization/coursedog,5700000.0,2020-03-09
N,PlanRadar,"Android, Architecture, Building Maintenance, Collaboration, Construction, iOS, Real Estate, Software, Task Management",PlanRadar offers a SaaS solution for documentation and communication in construction and real estate projects.,"Vienna, Wien, Austria",https://www.crunchbase.com/organization/defectradar,35201312.0,2020-03-06
N,XYZ Reality,"Augmented Reality, Computer, Construction, Hardware",XYZ Reality is disrupting the Construction Industry with a unique Augmented Reality solution able to reduce project costs by up to 20%,"London, England, United Kingdom",https://www.crunchbase.com/organization/xyz-reality,9157425.0,2020-03-02
N,OpsCompass,"Enterprise Software, Information Technology, Software",OpsCompass is a SaaS-based provider of enterprise software.,"Omaha, Nebraska, United States",https://www.crunchbase.com/organization/opscompass,9780000.0,2020-03-03
N,Quit Genius,"Fitness, Health Care, mHealth, Personal Health, Therapeutics, Wellness",Quit Genius is a health tech startup that offers a digital behavior change program to help people quit their addictions.,"San Francisco, California, United States",https://www.crunchbase.com/organization/quit-genius-87bd,13600000.0,2020-03-18
N,Ride Report,"Information Technology, Transportation",Ride Report is a solution for cities to integrate new forms of micromobility,"Portland, Oregon, United States",https://www.crunchbase.com/organization/ride-report,13400000.0,2020-03-12
N,b.well Connected Health,"Apps, Electronic Health Record (EHR), Health Care, Health Insurance, Personal Health, Predictive Analytics","b.well Connected Health provides an integrated solution for consumer engagement, holistic health management, and cost containment.","Baltimore, Maryland, United States",https://www.crunchbase.com/organization/b-well,26685000.0,2020-03-11
N,RunSafe Security,"Cloud Security, Cyber Security, Fleet Management, Real Time, Security",RunSafe Security is the pioneer of a unique cyberhardening technology for vulnerable embedded systems and devices.,"Mclean, Virginia, United States",https://www.crunchbase.com/organization/runsafe-security-inc,12200000.0,2020-03-05
