Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date,Classifier
Arcus,https://www.crunchbase.com/organization/regalii,"Mobile, Mobile Payments","New York, New York, United States",Arcus is the protocol for becoming the hub of your consumers’ financial health.,12900000,USD,12900000,6/1/19,N
Crisp,https://www.crunchbase.com/organization/crisp-6432,E-Commerce,"Amsterdam, Noord-Holland, The Netherlands",Crisp is an app-only supermarket focused on ultra-fresh food,8000000,EUR,9022886,6/1/19,Y
Roojoom,https://www.crunchbase.com/organization/roojoom,"Ad Targeting, Advertising, Email Marketing, Enterprise Software, Marketing, Marketing Automation, Personalization, SaaS, Software","Boston, Massachusetts, United States","Roojoom enables brands to gain control over each customer’s personal journey using algorithms-built unique CX, boosting KPIs",12100000,USD,12100000,6/1/19,N
CourseKey,https://www.crunchbase.com/organization/course-key,"B2B, Education, SaaS, Software","San Diego, California, United States",CourseKey is a SaaS platform that automates attendance for education organizations that are required to track it,9050000,USD,9050000,6/1/19,N
Crossflow - The Working Capital Marketplace,https://www.crunchbase.com/organization/crossflow-payments,"Finance, Financial Services, FinTech, Supply Chain Management","London, England, United Kingdom","We connect global businesses and their suppliers to funders for fast, flexible working capital finance powered by technology.",3876350,USD,3876350,6/1/19,N
VYRL,https://www.crunchbase.com/organization/vyrl,"Big Data, Digital Marketing, E-Commerce, Marketing Automation, Social Media Marketing","Irvine, California, United States",VYRL is building the biggest E-commerce Network in the world.,3065000,USD,3065000,6/1/19,N
Alex,https://www.crunchbase.com/organization/bene,"Financial Services, Information Technology","Brisbane, Queensland, Australia","Neo-Lender, Applying to become a Neo-Bank",12100000,AUD,8495748,6/1/19,N
ARwall,https://www.crunchbase.com/organization/arwall,"Augmented Reality, Information Services, Information Technology, Location Based Services","Los Angeles, California, United States","ARwall is a spatial computing company that builds large scale AR/XR solutions for film, TV, brands, and locations.",2000000,USD,2000000,6/1/19,N
Ulula,https://www.crunchbase.com/organization/ulula,"Business Intelligence, Impact Investing, Mobile, SaaS","New York, New York, United States",Measuring and Improving the Impact of Business and Government in Society,1000000,USD,1000000,6/1/19,Y
Domotron,https://www.crunchbase.com/organization/domotron,"Information Technology, Smart Home","Prague, Hlavni mesto Praha, Czech Republic",The Most Advanced Smart Home That Adapts to Your Lifestyle. To Make Your Life Easier.,1700000,EUR,1864490,6/1/19,Y
